                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                    244,               0.018142,               0.011941,               0.019726,             0.00057373,                   0.99,                0.98538,                0.99449,                0.80449,                   0.99,                0.98538,                0.99103,                0.76681,               0.024943,               0.054028,               0.041607,             0.00054626,              0.0051886,              0.0051886,              0.0051886
                    245,               0.018915,               0.012454,               0.020585,             0.00055941,                0.99495,                0.98438,                0.99114,                0.81771,                0.99495,                0.98438,                0.98834,                0.77769,               0.022711,               0.054906,               0.040821,             0.00055132,              0.0051688,              0.0051688,              0.0051688
                    246,               0.018346,               0.011673,               0.019886,             0.00053606,                0.99094,                0.98438,                0.99124,                0.81606,                0.99094,                0.98438,                0.98788,                0.78682,               0.022897,               0.056057,                0.04476,             0.00053051,               0.005149,               0.005149,               0.005149
                    247,               0.017608,               0.011625,               0.019692,              0.0005113,                0.98948,                0.98854,                0.99136,                0.80405,                0.98415,                0.98334,                0.98266,                0.76148,               0.024175,               0.057305,               0.048532,             0.00052104,              0.0051292,              0.0051292,              0.0051292
                    248,               0.018845,               0.012205,               0.021791,             0.00049904,                 0.9921,                0.98275,                0.99165,                0.79358,                0.98668,                0.97759,                0.98245,                0.74999,               0.022763,               0.056335,               0.048832,             0.00051844,              0.0051094,              0.0051094,              0.0051094
                    249,               0.018594,               0.011974,               0.019934,             0.00050209,                0.98402,                0.98438,                0.99269,                0.80926,                0.98945,                0.97396,                0.98668,                0.77452,               0.021636,               0.055928,               0.046926,             0.00046587,              0.0050896,              0.0050896,              0.0050896
                    250,               0.019087,               0.012111,               0.022061,             0.00045999,                0.98502,                0.98385,                0.99256,                0.81908,                0.98987,                 0.9735,                0.98936,                0.78259,               0.021696,               0.056462,                0.04397,             0.00042436,              0.0050698,              0.0050698,              0.0050698
                    251,               0.018399,               0.010986,               0.020382,             0.00042547,                0.98481,                0.98833,                0.99188,                 0.8177,                0.97953,                0.98315,                0.99051,                0.76887,                0.02199,               0.056567,               0.043114,             0.00036926,                0.00505,                0.00505,                0.00505
                    252,               0.018133,                0.01179,               0.019532,             0.00039025,                 0.9904,                0.98854,                0.99195,                0.81936,                0.98948,                0.97396,                 0.9875,                0.77083,               0.021834,               0.056563,               0.043087,             0.00034087,              0.0050302,              0.0050302,              0.0050302
                    253,               0.019244,               0.011787,                0.01862,             0.00038655,                0.98522,                0.98958,                0.99139,                0.81695,                0.99008,                0.97396,                0.98735,                0.78034,               0.020987,               0.055465,                0.04438,             0.00035655,              0.0050104,              0.0050104,              0.0050104
                    254,               0.018282,                0.01201,                0.01969,             0.00041964,                0.99008,                0.98896,                0.99193,                0.82089,                0.98473,                0.98382,                0.98978,                0.78124,               0.020751,               0.054252,               0.045185,             0.00037915,              0.0049906,              0.0049906,              0.0049906
                    255,               0.017482,               0.011286,               0.019201,             0.00044882,                0.99842,                0.98902,                0.99269,                0.82667,                0.99309,                0.98386,                0.99063,                0.77387,               0.020828,               0.052601,               0.046942,             0.00042783,              0.0049708,              0.0049708,              0.0049708
                    256,               0.017809,               0.011731,               0.019909,             0.00049266,                0.99702,                0.99479,                0.99239,                0.78814,                0.99702,                0.99479,                0.99353,                0.75721,               0.022639,               0.052661,               0.047707,             0.00045859,               0.004951,               0.004951,               0.004951
                    257,               0.017837,               0.011655,               0.020861,             0.00052043,                0.99498,                0.99071,                0.99238,                0.82713,                0.98967,                 0.9855,                0.98911,                0.77657,               0.021033,               0.053909,               0.048429,             0.00048777,              0.0049312,              0.0049312,              0.0049312
                    258,               0.017484,               0.011629,               0.019351,             0.00057094,                0.99433,                0.99392,                0.99236,                0.81801,                0.99433,                0.99392,                0.99236,                0.77476,               0.021733,               0.053868,               0.051023,             0.00052013,              0.0049114,              0.0049114,              0.0049114
                    259,               0.017572,               0.011644,               0.021921,             0.00053758,                0.99786,                0.98958,                0.99224,                0.80238,                0.99786,                0.98958,                0.99224,                0.76141,               0.022503,               0.054808,               0.050081,             0.00052488,              0.0048916,              0.0048916,              0.0048916
                    260,               0.017187,               0.011204,                0.01958,             0.00053861,                0.99865,                0.98878,                0.99159,                0.79393,                0.99865,                0.98878,                 0.9924,                0.75219,               0.022077,               0.055658,               0.051445,             0.00050449,              0.0048718,              0.0048718,              0.0048718
                    261,               0.017331,               0.011425,               0.020974,             0.00050897,                0.99658,                0.98972,                 0.9914,                0.80929,                0.99658,                0.98972,                0.99381,                0.76967,               0.021556,               0.057028,               0.054625,             0.00044608,               0.004852,               0.004852,               0.004852
                    262,               0.017252,               0.011428,               0.018878,             0.00046514,                0.99725,                0.98958,                0.99133,                0.80662,                0.99725,                0.98958,                 0.9927,                0.76587,               0.022523,               0.059389,               0.057499,             0.00040921,              0.0048322,              0.0048322,              0.0048322
                    263,               0.018045,               0.011271,               0.019815,             0.00039148,                0.99384,                 0.9887,                0.99101,                0.80444,                0.99384,                 0.9887,                0.99232,                0.76921,               0.022432,               0.059639,               0.055931,             0.00038652,              0.0048124,              0.0048124,              0.0048124
                    264,               0.017853,               0.011487,                0.01913,             0.00043317,                0.99505,                0.98817,                0.99108,                0.80798,                0.99505,                0.98817,                0.99201,                0.76923,                0.02234,               0.058887,               0.055975,             0.00038902,              0.0047926,              0.0047926,              0.0047926
                    265,               0.016752,               0.011389,               0.019814,             0.00043444,                0.99695,                0.98583,                0.99123,                0.81145,                0.99695,                0.98583,                0.99052,                0.77177,               0.022017,               0.057361,               0.053284,              0.0003813,              0.0047728,              0.0047728,              0.0047728
                    266,               0.017765,               0.011793,               0.019694,              0.0004538,                0.99577,                0.98693,                0.99142,                0.81441,                0.99577,                0.98693,                0.99456,                0.77108,               0.022139,               0.057228,               0.053207,             0.00039241,               0.004753,               0.004753,               0.004753
                    267,               0.016892,               0.011312,               0.018968,             0.00044355,                0.99571,                 0.9852,                0.99105,                0.81499,                0.99571,                 0.9852,                0.98686,                0.77668,               0.022369,                0.05748,               0.052794,             0.00043054,              0.0047332,              0.0047332,              0.0047332
                    268,               0.016953,               0.011837,               0.018726,             0.00049657,                0.99812,                0.98895,                0.99084,                 0.8131,                0.99812,                0.98895,                0.98654,                 0.7844,               0.022215,               0.059673,               0.054207,             0.00045773,              0.0047134,              0.0047134,              0.0047134
                    269,               0.017123,               0.011706,               0.019362,              0.0004889,                0.99772,                0.98438,                0.99069,                 0.8042,                0.99772,                0.98438,                0.98874,                 0.7595,                0.02248,               0.060198,               0.054155,              0.0004675,              0.0046936,              0.0046936,              0.0046936
                    270,               0.017268,                0.01158,               0.019377,             0.00048285,                0.99352,                0.97936,                0.99065,                0.80791,                0.99719,                0.98438,                0.98661,                 0.7721,               0.022977,               0.059407,               0.051142,             0.00045528,              0.0046738,              0.0046738,              0.0046738
                    271,               0.016646,               0.011863,               0.018861,             0.00047705,                0.99839,                0.98385,                0.99058,                0.80363,                0.99839,                0.98385,                0.99024,                0.77501,               0.022065,               0.058282,               0.045336,             0.00041919,               0.004654,               0.004654,               0.004654
                    272,               0.016707,               0.011603,               0.019502,             0.00044005,                0.99673,                0.97917,                0.99444,                0.81482,                0.99874,                0.98243,                0.98639,                0.76961,               0.021827,               0.056805,                0.04352,              0.0004046,              0.0046342,              0.0046342,              0.0046342
                    273,               0.016669,               0.011767,               0.018465,             0.00043904,                0.99645,                0.98154,                0.99217,                0.81074,                0.99645,                0.98154,                 0.9886,                0.77358,               0.021753,               0.056083,               0.040596,             0.00041502,              0.0046144,              0.0046144,              0.0046144
                    274,               0.017079,               0.011603,               0.019511,             0.00043238,                0.99649,                0.98099,                0.99221,                 0.8123,                0.99649,                0.98099,                 0.9884,                0.77622,               0.022019,               0.056557,               0.039352,              0.0004209,              0.0045946,              0.0045946,              0.0045946
                    275,               0.016602,               0.011332,               0.018963,              0.0004201,                0.99512,                0.98218,                0.99207,                0.81705,                0.99512,                0.98218,                0.98836,                0.76831,               0.022137,               0.055658,               0.039833,             0.00040574,              0.0045748,              0.0045748,              0.0045748
                    276,               0.016496,               0.011725,               0.018352,             0.00041464,                0.99748,                0.98865,                0.99212,                0.81165,                0.99748,                0.98865,                0.98999,                0.77182,               0.022641,               0.054793,               0.039265,             0.00041173,               0.004555,               0.004555,               0.004555
                    277,               0.016136,               0.010477,               0.017769,             0.00042391,                0.99832,                0.98438,                0.99131,                0.81431,                0.99832,                0.98438,                0.98779,                0.78584,               0.022292,               0.055709,                0.03768,              0.0004514,              0.0045352,              0.0045352,              0.0045352
                    278,               0.016771,               0.011048,               0.018219,             0.00044401,                 0.9918,                0.98841,                0.99144,                0.81311,                 0.9918,                0.98841,                0.98716,                0.78126,               0.022421,               0.056289,               0.038872,               0.000472,              0.0045154,              0.0045154,              0.0045154
                    279,               0.016283,               0.011468,               0.018538,             0.00045921,                0.98294,                   0.99,                0.99132,                0.81092,                0.99381,                0.98438,                0.98714,                0.76548,                0.02202,               0.058339,               0.042013,             0.00044091,              0.0044956,              0.0044956,              0.0044956
                    280,               0.016862,               0.011294,               0.020068,             0.00043203,                0.98169,                0.99038,                0.99127,                0.81627,                 0.9957,                0.98303,                0.99124,                0.75974,               0.022293,               0.057544,               0.041435,             0.00042164,              0.0044758,              0.0044758,              0.0044758
                    281,                0.01744,               0.011113,               0.019734,             0.00040636,                0.98333,                0.98958,                0.99111,                0.82843,                0.99587,                0.98173,                0.99255,                0.77104,               0.021076,               0.057182,               0.044233,             0.00036461,               0.004456,               0.004456,               0.004456
                    282,                0.01648,               0.011163,               0.018681,             0.00037884,                 0.9826,                0.98868,                0.99119,                0.82025,                0.99629,                0.98115,                0.99274,                0.77787,               0.022173,               0.058137,                 0.0494,             0.00035131,              0.0044362,              0.0044362,              0.0044362
                    283,               0.017262,               0.012402,               0.019616,             0.00034734,                 0.9908,                0.97897,                  0.991,                  0.818,                0.99622,                0.98412,                0.99329,                0.76743,               0.021901,               0.059947,               0.053915,             0.00033736,              0.0044164,              0.0044164,              0.0044164
                    284,               0.017205,               0.011882,               0.019682,             0.00032076,                0.98313,                0.98842,                0.99112,                0.82757,                0.99684,                0.98284,                0.99428,                0.77586,               0.021418,               0.061182,               0.049751,             0.00033959,              0.0043966,              0.0043966,              0.0043966
                    285,               0.016053,               0.010745,               0.017344,             0.00034385,                0.99728,                0.98395,                0.99121,                 0.8227,                0.99728,                0.98395,                0.99121,                0.76227,               0.021725,               0.061277,               0.049374,             0.00035723,              0.0043768,              0.0043768,              0.0043768
                    286,               0.016107,               0.011133,               0.019491,             0.00038678,                0.99683,                0.97885,                 0.9912,                0.82448,                0.99683,                0.97885,                0.99257,                0.77723,               0.021251,               0.058775,               0.044952,             0.00039043,               0.004357,               0.004357,               0.004357
                    287,               0.015539,               0.010955,               0.017283,             0.00042128,                0.98255,                0.99412,                0.99363,                0.81563,                0.99434,                0.98438,                 0.9912,                0.77465,               0.022292,               0.055628,               0.043623,             0.00045364,              0.0043372,              0.0043372,              0.0043372
                    288,               0.016892,               0.011178,               0.019833,             0.00047294,                0.98252,                0.99479,                0.99239,                0.82128,                0.99675,                0.98404,                0.99128,                0.77158,               0.021854,               0.055398,               0.042088,             0.00048165,              0.0043174,              0.0043174,              0.0043174
                    289,               0.016177,               0.011645,               0.017883,              0.0005124,                0.97901,                0.99479,                 0.9923,                0.81896,                0.97901,                0.99479,                 0.9923,                0.77732,               0.021537,               0.054179,               0.040207,             0.00048826,              0.0042976,              0.0042976,              0.0042976
                    290,               0.016158,               0.011869,               0.017999,              0.0004735,                0.98245,                0.99468,                0.99196,                0.81556,                0.98874,                0.99401,                0.99156,                0.78282,               0.022436,               0.058098,               0.040607,             0.00046213,              0.0042778,              0.0042778,              0.0042778
                    291,               0.015734,               0.011377,               0.017795,             0.00046132,                0.99497,                0.98958,                0.99259,                  0.816,                0.99497,                0.98958,                0.99133,                 0.7823,               0.022903,               0.057533,               0.041687,             0.00040975,               0.004258,               0.004258,               0.004258
                    292,               0.016233,               0.011056,               0.018031,             0.00042606,                0.99548,                0.98958,                0.99256,                0.82211,                0.99548,                0.98958,                0.99132,                0.78059,               0.021874,               0.055666,               0.040138,             0.00040472,              0.0042382,              0.0042382,              0.0042382
                    293,               0.015535,               0.010653,               0.018111,             0.00045271,                0.99513,                0.99327,                0.99308,                 0.8173,                0.99513,                0.99327,                0.99136,                0.77133,               0.021763,                0.05179,               0.044058,             0.00039115,              0.0042184,              0.0042184,              0.0042184
                    294,               0.016061,               0.011342,               0.017974,             0.00043334,                0.99567,                0.99325,                0.99276,                0.81848,                0.99567,                0.99325,                0.99135,                0.77754,               0.021602,               0.052394,                0.04332,             0.00038755,              0.0041986,              0.0041986,              0.0041986
                    295,               0.014864,               0.011043,               0.016646,             0.00042598,                0.99509,                0.99294,                0.99274,                0.81372,                0.99509,                0.99294,                0.99274,                0.77782,                0.02064,               0.050251,               0.038538,              0.0003545,              0.0041788,              0.0041788,              0.0041788
                    296,               0.016553,               0.011338,               0.018508,             0.00040199,                0.99498,                0.99394,                0.99336,                0.82243,                0.99498,                0.99394,                0.99336,                0.77728,               0.020531,               0.048829,               0.037502,             0.00033979,               0.004159,               0.004159,               0.004159
                    297,               0.015795,               0.010893,               0.018551,             0.00038154,                0.99301,                0.99479,                0.99146,                0.82036,                0.99301,                0.99479,                0.99146,                0.76911,               0.020975,               0.048684,               0.037331,              0.0003324,              0.0041392,              0.0041392,              0.0041392
                    298,               0.016133,               0.011427,               0.018839,             0.00037923,                0.99238,                0.99479,                0.99183,                0.82051,                0.99238,                0.99479,                0.99183,                0.76449,               0.021138,               0.048141,               0.038992,             0.00033286,              0.0041194,              0.0041194,              0.0041194
                    299,               0.015318,               0.010759,               0.017318,              0.0003839,                0.99444,                0.99416,                0.99466,                0.82017,                0.99444,                0.99416,                0.99466,                0.78348,               0.020707,               0.046839,               0.038504,             0.00033634,              0.0040996,              0.0040996,              0.0040996
                    300,               0.015352,               0.010752,               0.017635,             0.00039559,                0.98369,                0.99479,                 0.9945,                 0.8277,                0.99202,                0.99322,                0.99466,                0.78438,               0.020292,               0.047375,               0.038885,             0.00034896,              0.0040798,              0.0040798,              0.0040798
                    301,               0.016211,               0.011884,               0.019538,             0.00043819,                0.98436,                0.99318,                0.99147,                0.80946,                0.99628,                0.98978,                0.99162,                0.77864,               0.020649,                0.04752,               0.040028,             0.00037612,                0.00406,                0.00406,                0.00406
                    302,               0.015834,                0.01098,               0.018411,             0.00045604,                0.99269,                0.98165,                 0.9911,                0.82128,                0.99651,                0.98958,                0.99131,                0.77342,               0.021176,               0.047046,               0.043316,              0.0003938,              0.0040402,              0.0040402,              0.0040402
                    303,               0.015966,                0.01132,               0.017346,             0.00046666,                0.99179,                0.98098,                0.99403,                  0.819,                0.99179,                0.98098,                0.99115,                0.78843,               0.021203,               0.048177,               0.048576,              0.0003987,              0.0040204,              0.0040204,              0.0040204
                    304,               0.015997,               0.011038,               0.018131,             0.00042198,                0.99108,                0.98053,                0.99107,                  0.814,                0.99516,                0.98848,                0.99142,                 0.7848,               0.021669,               0.049843,               0.049673,             0.00037918,              0.0040006,              0.0040006,              0.0040006
                    305,               0.015143,                0.01119,               0.018568,             0.00037172,                0.99261,                0.98746,                0.99158,                0.80965,                0.99261,                0.98746,                 0.9912,                0.77502,               0.021979,               0.049583,               0.049967,             0.00034858,              0.0039808,              0.0039808,              0.0039808
                    306,               0.015576,               0.010942,               0.018916,             0.00035952,                0.99506,                0.98438,                0.99151,                0.81107,                0.99506,                0.98438,                0.99096,                0.77567,                0.02163,               0.048342,               0.049444,             0.00033345,               0.003961,               0.003961,               0.003961
                    307,               0.015301,               0.011357,               0.018091,             0.00033393,                 0.9967,                0.98438,                0.99167,                0.81939,                 0.9967,                0.98438,                0.99107,                0.78212,               0.021179,               0.045407,               0.048006,             0.00029813,              0.0039412,              0.0039412,              0.0039412
                    308,               0.015401,               0.010974,               0.017755,             0.00031054,                0.99402,                0.97917,                0.99144,                0.82205,                0.99682,                0.98337,                0.99114,                0.78288,               0.021241,               0.045578,               0.048363,             0.00028785,              0.0039214,              0.0039214,              0.0039214
                    309,               0.015071,               0.011282,               0.018831,             0.00030804,                0.99227,                0.97917,                0.99112,                0.81013,                0.99671,                0.98438,                0.99085,                0.77366,               0.021085,               0.048888,               0.046429,             0.00027568,              0.0039016,              0.0039016,              0.0039016
                    310,               0.016282,               0.010605,                0.01863,             0.00029746,                0.99156,                0.97917,                0.99132,                0.81319,                0.99569,                0.98438,                0.98695,                0.76948,                0.02093,               0.052377,                0.04558,             0.00027085,              0.0038818,              0.0038818,              0.0038818
                    311,               0.015414,               0.010878,               0.017365,             0.00029588,                0.99192,                0.97917,                0.99105,                0.81846,                0.99729,                0.98438,                0.99289,                0.78083,               0.020487,               0.055784,               0.048313,             0.00028062,               0.003862,               0.003862,               0.003862
                    312,               0.015781,               0.010746,               0.017713,             0.00031578,                0.99101,                0.97917,                0.99068,                0.81598,                0.99637,                0.98438,                 0.9896,                0.77717,               0.020849,                0.06161,               0.049688,             0.00030242,              0.0038422,              0.0038422,              0.0038422
                    313,               0.015834,               0.011334,               0.018371,             0.00032597,                0.99257,                0.97917,                0.99077,                0.81227,                0.99626,                0.98438,                0.99093,                0.76519,               0.021687,               0.064784,               0.052923,             0.00034305,              0.0038224,              0.0038224,              0.0038224
                    314,               0.015339,                0.01088,               0.017194,             0.00036839,                0.99459,                0.97917,                0.99074,                0.81985,                0.99664,                0.98438,                0.99095,                0.77184,               0.021353,               0.063969,                0.04949,              0.0003562,              0.0038026,              0.0038026,              0.0038026
                    315,               0.015638,                0.01078,               0.016752,             0.00038057,                0.99632,                0.97917,                0.99084,                0.81773,                0.99632,                0.97917,                0.99084,                0.77858,               0.020966,               0.061806,               0.046717,              0.0003538,              0.0037828,              0.0037828,              0.0037828
                    316,               0.014942,               0.010053,               0.017237,             0.00037186,                0.99604,                0.97917,                 0.9908,                0.82233,                0.99817,                0.98257,                 0.9909,                0.77664,               0.021347,               0.060076,               0.046791,             0.00035288,               0.003763,               0.003763,               0.003763
                    317,               0.015579,               0.011455,               0.018932,             0.00035465,                0.98171,                0.99356,                 0.9909,                0.81968,                0.99812,                0.98324,                0.99429,                0.77476,               0.020668,               0.059523,               0.042238,             0.00033951,              0.0037432,              0.0037432,              0.0037432
                    318,               0.014619,                0.01069,               0.017005,             0.00036129,                0.98128,                0.99107,                0.99105,                0.81798,                0.99247,                0.98939,                0.99429,                0.77438,               0.020735,               0.058865,               0.042358,             0.00033426,              0.0037234,              0.0037234,              0.0037234
                    319,               0.015177,               0.011381,               0.017138,             0.00035583,                0.98615,                0.98908,                0.99153,                0.81993,                0.99143,                0.99426,                0.99343,                0.78211,               0.019676,               0.058033,               0.040535,             0.00032631,              0.0037036,              0.0037036,              0.0037036
                    320,               0.015074,               0.011213,               0.017407,             0.00033871,                0.98589,                0.98953,                0.99174,                0.81815,                0.99117,                 0.9947,                0.99254,                0.77956,               0.019269,               0.056832,               0.040615,             0.00032565,              0.0036838,              0.0036838,              0.0036838
                    321,               0.014948,               0.010316,               0.017668,             0.00034203,                0.99272,                0.97995,                0.99392,                 0.8185,                0.99809,                0.98516,                 0.9947,                0.78241,                0.01973,               0.056078,               0.040236,             0.00032526,               0.003664,               0.003664,               0.003664
                    322,               0.013912,               0.010678,                0.01636,             0.00037962,                0.99281,                0.98016,                0.99408,                 0.8249,                0.99817,                0.98537,                 0.9947,                0.78058,               0.020103,               0.053948,               0.041462,             0.00032599,              0.0036442,              0.0036442,              0.0036442
                    323,               0.014812,               0.010883,               0.018245,             0.00036064,                0.99335,                0.98002,                0.99418,                0.82451,                0.99872,                0.98523,                0.99475,                0.78179,               0.019431,               0.052543,               0.041475,             0.00033374,              0.0036244,              0.0036244,              0.0036244
                    324,               0.014038,               0.010214,               0.017468,             0.00035862,                0.98626,                0.98825,                0.99444,                0.82288,                0.99154,                0.99345,                0.99475,                0.78139,               0.019842,                0.05317,                0.04287,             0.00032893,              0.0036046,              0.0036046,              0.0036046
                    325,               0.014151,               0.010493,               0.016715,             0.00038578,                0.99244,                0.98068,                0.99424,                0.82348,                0.99796,                0.98572,                0.99461,                0.78175,               0.019998,               0.051466,               0.038061,             0.00032923,              0.0035848,              0.0035848,              0.0035848
                    326,               0.015099,               0.011117,               0.017325,              0.0003744,                0.99259,                0.97917,                0.99405,                0.82561,                0.99796,                0.98438,                0.99446,                0.77877,               0.019519,                0.05085,               0.037977,              0.0003232,               0.003565,               0.003565,               0.003565
                    327,               0.014711,               0.010478,                0.01702,             0.00037812,                0.99258,                0.97917,                 0.9941,                0.82434,                0.99796,                0.98438,                0.99446,                0.78229,               0.019683,               0.050714,               0.039034,             0.00032091,              0.0035452,              0.0035452,              0.0035452
                    328,                0.01446,               0.010815,               0.017093,              0.0003516,                0.99067,                0.97917,                0.99396,                0.82603,                0.99618,                0.98438,                0.99368,                0.78263,               0.019873,               0.050661,               0.039192,             0.00033035,              0.0035254,              0.0035254,              0.0035254
                    329,               0.014729,               0.010413,                0.01808,             0.00036025,                0.99293,                0.97819,                  0.994,                0.83104,                0.99835,                0.98329,                0.99437,                0.77983,                0.01957,               0.051109,                0.03981,             0.00032675,              0.0035056,              0.0035056,              0.0035056
                    330,               0.014108,               0.010714,               0.017279,             0.00036099,                0.99235,                0.97917,                0.99392,                0.82168,                0.99773,                0.98438,                 0.9945,                0.78252,               0.019832,               0.050532,               0.038837,             0.00032566,              0.0034858,              0.0034858,              0.0034858
                    331,               0.014712,               0.011543,               0.017364,             0.00033787,                0.99168,                0.97917,                0.99071,                0.82478,                0.99705,                0.98438,                 0.9915,                0.78097,               0.020292,               0.049913,               0.040264,             0.00031831,               0.003466,               0.003466,               0.003466
                    332,               0.014439,               0.011458,               0.016527,             0.00033051,                  0.992,                0.97917,                 0.9938,                 0.8225,                0.99738,                0.98438,                 0.9946,                0.77579,               0.020638,               0.051118,               0.041372,              0.0003068,              0.0034462,              0.0034462,              0.0034462
                    333,               0.014979,                0.01128,               0.016527,             0.00031148,                0.99222,                0.97867,                0.99384,                0.81833,                0.99763,                0.98379,                0.99436,                0.77975,               0.020608,               0.053864,               0.042999,             0.00028944,              0.0034264,              0.0034264,              0.0034264
                    334,               0.014075,               0.011117,               0.017442,             0.00030192,                0.99169,                0.97917,                0.99356,                 0.8222,                0.99706,                0.98438,                0.99116,                0.78583,               0.020933,               0.054334,               0.043104,             0.00029476,              0.0034066,              0.0034066,              0.0034066
                    335,               0.014208,               0.011224,               0.016212,             0.00029357,                0.99074,                0.97917,                0.99111,                0.82166,                 0.9962,                0.98438,                0.98819,                0.77676,               0.021504,               0.052668,               0.042835,             0.00028651,              0.0033868,              0.0033868,              0.0033868
                    336,               0.014642,              0.0099885,               0.017029,              0.0002795,                0.99152,                0.97917,                0.99103,                0.82393,                0.99697,                0.98438,                0.98819,                 0.7785,               0.021215,               0.051498,               0.041245,             0.00028453,               0.003367,               0.003367,               0.003367
                    337,               0.014392,               0.010811,               0.016977,             0.00029193,                0.98662,                0.97998,                0.99004,                0.82024,                0.99193,                0.98518,                 0.9883,                0.77873,               0.020755,               0.051493,               0.041304,             0.00029247,              0.0033472,              0.0033472,              0.0033472
