                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                     62,               0.033092,               0.016895,               0.030312,              0.0010122,                 0.9124,                0.96886,                0.98709,                0.64764,                 0.9124,                0.96886,                0.98074,                0.70911,               0.035242,               0.049418,               0.045773,             0.00087686,              0.0087922,              0.0087922,              0.0087922
                     63,               0.033912,                0.01655,               0.028304,              0.0011893,                0.94772,                0.97855,                0.98491,                 0.6994,                0.94772,                0.97855,                0.98146,                0.75027,               0.031597,               0.048642,               0.044035,             0.00085049,              0.0087724,              0.0087724,              0.0087724
                     64,               0.032387,               0.016003,                0.02728,              0.0011298,                0.98866,                 0.9795,                0.98882,                0.70681,                0.98866,                 0.9795,                0.98796,                0.75279,               0.029507,               0.046225,               0.044222,             0.00082397,              0.0087526,              0.0087526,              0.0087526
                     65,               0.031089,                0.01687,                0.02696,              0.0010811,                0.97702,                0.96504,                0.98864,                0.67855,                0.97702,                0.96504,                0.98421,                0.75232,               0.030504,               0.048094,               0.043303,             0.00088649,              0.0087328,              0.0087328,              0.0087328
                     66,                0.03146,               0.016008,               0.030033,              0.0012369,                0.98856,                0.97702,                0.99212,                0.66499,                0.98856,                0.97702,                 0.9883,                0.75025,               0.029125,               0.047018,               0.042917,              0.0010111,               0.008713,               0.008713,               0.008713
                     67,               0.029835,               0.016705,               0.029634,              0.0013606,                 0.9844,                0.98477,                0.98558,                0.70217,                 0.9844,                0.98477,                0.98382,                0.75358,               0.033548,               0.045779,               0.044395,              0.0011309,              0.0086932,              0.0086932,              0.0086932
                     68,               0.032601,               0.017222,               0.030372,              0.0013555,                0.97749,                0.98542,                0.98248,                0.69909,                0.97749,                0.98542,                0.98189,                0.75398,               0.032371,               0.045971,               0.044609,              0.0010719,              0.0086734,              0.0086734,              0.0086734
                     69,               0.031696,               0.016675,               0.029454,              0.0012669,                0.95071,                0.98324,                0.98343,                0.67853,                0.95071,                0.98324,                0.98291,                0.73352,               0.035281,               0.048404,               0.048574,              0.0010918,              0.0086536,              0.0086536,              0.0086536
                     70,               0.031607,               0.016655,               0.029471,              0.0011989,                0.95025,                0.97917,                0.98442,                0.71371,                0.95025,                0.97917,                0.98022,                0.73226,               0.031301,               0.052179,               0.050659,              0.0011236,              0.0086338,              0.0086338,              0.0086338
                     71,               0.031799,               0.016898,               0.029592,              0.0012489,                0.99274,                0.98421,                0.98682,                0.70162,                0.99274,                0.98421,                0.98576,                0.75775,                0.03016,               0.055381,               0.044752,              0.0010508,               0.008614,               0.008614,               0.008614
                     72,               0.031261,               0.017135,               0.026695,              0.0011268,                0.98821,                0.98438,                0.99087,                0.70281,                0.98821,                0.98438,                0.98542,                 0.7673,               0.030289,               0.062916,               0.048687,             0.00095541,              0.0085942,              0.0085942,              0.0085942
                     73,               0.031623,               0.015768,               0.028668,             0.00092381,                0.99083,                0.97917,                0.99037,                0.73966,                 0.9916,                0.97917,                0.98773,                0.75112,               0.031939,               0.070056,               0.048874,              0.0008112,              0.0085744,              0.0085744,              0.0085744
                     74,               0.030768,               0.016656,                0.03051,             0.00080182,                0.98697,                0.98438,                0.99337,                 0.7309,                0.98697,                0.98438,                0.98577,                0.74353,               0.030854,               0.059948,               0.046566,             0.00080464,              0.0085546,              0.0085546,              0.0085546
                     75,               0.029919,               0.016674,               0.028712,             0.00093048,                0.98414,                0.98082,                0.98735,                0.74141,                0.98414,                0.98082,                0.98618,                0.76988,               0.029153,               0.058698,                0.04904,             0.00095754,              0.0085348,              0.0085348,              0.0085348
                     76,               0.031466,                0.01652,               0.028158,              0.0011408,                0.99839,                0.98438,                0.99038,                0.71592,                0.99839,                0.98438,                0.98636,                0.77645,               0.032566,               0.064458,               0.049103,             0.00099006,               0.008515,               0.008515,               0.008515
                     77,                0.03139,               0.016876,               0.028559,              0.0015335,                0.99191,                0.97732,                0.99043,                0.66874,                0.99191,                0.97732,                0.98618,                0.71442,               0.031105,               0.059017,               0.047365,             0.00091739,              0.0084952,              0.0084952,              0.0084952
                     78,               0.030906,               0.016357,               0.027412,              0.0010583,                0.98563,                0.97874,                 0.9889,                0.68093,                0.98563,                0.97874,                0.98555,                0.72813,                0.03131,               0.055546,                0.04661,             0.00082664,              0.0084754,              0.0084754,              0.0084754
                     79,               0.030745,               0.016457,               0.027503,             0.00095539,                0.99212,                0.96538,                0.98617,                0.71452,                0.99212,                0.96538,                0.98617,                  0.774,               0.030001,               0.055955,               0.048159,             0.00090208,              0.0084556,              0.0084556,              0.0084556
                     80,               0.028855,               0.017106,                0.02733,              0.0012641,                0.99082,                0.95833,                0.98626,                0.76043,                0.99082,                0.95833,                0.98537,                0.72718,               0.027144,                0.05368,               0.052916,             0.00099382,              0.0084358,              0.0084358,              0.0084358
                     81,               0.030655,               0.016598,               0.028493,              0.0012902,                0.98496,                  0.977,                0.99019,                 0.7292,                0.98496,                  0.977,                0.98968,                 0.7639,               0.027379,               0.046216,               0.046673,             0.00091491,               0.008416,               0.008416,               0.008416
                     82,               0.026802,               0.016438,               0.029063,               0.001156,                0.99184,                0.98099,                0.99146,                0.73872,                0.99184,                0.98099,                0.98761,                0.76077,               0.029729,               0.046455,               0.046986,             0.00088353,              0.0083962,              0.0083962,              0.0083962
                     83,               0.027954,               0.016142,               0.028865,              0.0013843,                0.99209,                0.98438,                0.99161,                0.76183,                0.99209,                0.98438,                0.98777,                0.74945,               0.025253,               0.049008,               0.046181,             0.00083451,              0.0083764,              0.0083764,              0.0083764
                     84,               0.026041,               0.016703,               0.028028,              0.0010383,                0.99249,                0.98438,                0.98622,                0.68609,                0.99249,                0.98438,                0.98524,                0.70916,               0.029215,               0.046523,               0.044714,             0.00094938,              0.0083566,              0.0083566,              0.0083566
                     85,               0.030407,               0.016313,               0.027135,              0.0011002,                0.99354,                0.98438,                0.98754,                0.74321,                0.99354,                0.98438,                0.98671,                0.76854,                0.02642,               0.049097,               0.042091,              0.0008904,              0.0083368,              0.0083368,              0.0083368
                     86,               0.028834,               0.016948,               0.028338,             0.00099164,                0.99488,                0.98855,                0.99268,                0.72724,                0.99488,                0.98855,                0.98765,                0.76647,               0.027766,                0.05147,               0.045273,             0.00087633,               0.008317,               0.008317,               0.008317
                     87,               0.030931,               0.016732,               0.027376,             0.00095977,                0.99009,                0.98958,                0.99415,                0.71676,                0.99009,                0.98958,                0.99032,                0.72712,               0.029158,               0.051299,               0.044416,             0.00079999,              0.0082972,              0.0082972,              0.0082972
                     88,                0.03091,               0.015691,               0.028652,             0.00095717,                0.99579,                0.97713,                0.99224,                  0.702,                0.99579,                0.97713,                0.99224,                0.72089,               0.028969,               0.048579,               0.042431,             0.00072541,              0.0082774,              0.0082774,              0.0082774
                     89,               0.030913,               0.015638,               0.028507,             0.00079098,                 0.9959,                0.97725,                0.99151,                0.72665,                 0.9959,                0.97725,                0.99083,                 0.7557,               0.028337,               0.055452,               0.050592,             0.00077877,              0.0082576,              0.0082576,              0.0082576
                     90,               0.028884,               0.017072,                0.02751,               0.001028,                 0.9686,                0.96401,                0.99442,                0.71097,                 0.9686,                0.96401,                 0.9935,                0.74525,               0.027568,                0.05037,               0.044718,             0.00090516,              0.0082378,              0.0082378,              0.0082378
                     91,               0.028771,               0.016093,               0.029114,              0.0012362,                 0.9914,                0.98438,                0.99029,                0.75051,                 0.9914,                0.98438,                0.98738,                0.74975,               0.028225,               0.050651,                0.03784,             0.00096626,               0.008218,               0.008218,               0.008218
                     92,               0.028448,                0.01603,               0.027129,              0.0012236,                0.98604,                0.98438,                0.99382,                 0.7577,                0.98604,                0.98438,                0.98073,                0.73239,               0.027989,               0.057042,               0.042686,             0.00089502,              0.0081982,              0.0081982,              0.0081982
